"_id","van_id","lastname","firstname","address","phone","ward","precinct","voted"
"5c946775905b7602009e695c","10","Sweeney","Man","1 Tailwater St.","325-314-4212","47","1","1"
"5c946775905b7602009e695d","11","Pacheco","Lorena","10 College Drive","343-951-9740","47","1","1"
"5c946775905b7602009e695e","12","Buckley","Granville","10 Rock Creek Lane","530-750-3404","47","1","1"
"5c946775905b7602009e695f","13","Mata","1Isabel","10 Sherman Lane","564-904-7889","47","1","1"
"5c946775905b7602009e6960","14","Long","1Shane","101 Elizabeth Ave.","225-530-9750","47","1","1"
"5c946775905b7602009e6961","15","Horton","Donovan","101 Golden Star Road","410-034-7258","47","1","1"
"5c946775905b7602009e6962","16","Wheeler","Agnes","11 Maple Lane","491-316-6475","47","2","1"
"5c946775905b7602009e6963","17","Arias","Savannah","11 Summerhouse St.","563-115-4856","47","2","1"
"5c946775905b7602009e6964","18","Cohen","Christine","11 Union Drive","816-741-5788","47","2","1"
"5c946775905b7602009e6965","19","Morris","Efren","11 W. Mechanic Drive","288-605-9725","47","2","0"
"5c946775905b7602009e6966","20","Farrell","Tonia","110 Queen St.","782-118-3658","47","2","0"
"5c946775905b7602009e6953","1","Lieber","Scott","1 Broad Drive","808-322-3597","47","1","0"
"5c946775905b7602009e6954","2","Bressler","Jacob","1 College St.","618-072-9017","47","1","0"
"5c946775905b7602009e6955","3","Gold","Phil","1 East Marvon Ave.","849-177-5585","47","1","0"
"5c946775905b7602009e6956","4","Turner","Alfonso","1 East Queen Rd.","880-269-2251","47","1","0"
"5c946775905b7602009e6957","5","Carpenter","Mervin","1 Hill St.","530-676-7194","47","1","0"
"5c946775905b7602009e6958","6","Sanford","Brianna","1 Leeton Ridge Rd.","485-535-3952","47","1","0"
"5c946775905b7602009e6959","7","Hendricks","Shad","1 S. Maple Ave.","637-640-2864","47","1","0"
"5c946775905b7602009e695a","8","Johnson","Kyle","1 South Longbranch Drive","983-756-4867","47","1","0"
"5c946775905b7602009e695b","9","Barrera","Jed","1 South Summerhouse Court","720-547-4041","47","1","0"
